,race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
220,White,2,34.0,2.8,SE,1.51,0.691666666667,1.0
221,White,1,37.0,2.8,MS,-0.23,0.729166666667,1.0
223,White,1,25.0,3.2,SE,-0.64,0.617261904762,1.0
224,White,2,33.0,2.9,SE,0.69,0.68869047619,1.0
225,Hispanic,1,29.0,3.1,SE,-1.45,0.657738095238,1.0
226,White,1,34.0,3.0,SE,-0.24,0.710714285714,0.0
227,White,1,34.0,2.7,SE,1.51,0.682142857143,1.0
228,White,1,30.5,3.0,SE,-1.09,0.666964285714,1.0
229,White,1,33.0,3.3,SE,0.89,0.726785714286,1.0
230,White,2,34.0,2.9,MS,-1.93,0.70119047619,0.0
231,White,1,30.0,3.4,SE,0.73,0.69880952381,1.0
233,White,1,38.0,2.4,SE,-0.2,0.703571428571,1.0
234,White,2,32.5,3.1,SE,0.93,0.701488095238,1.0
235,White,1,40.0,4.0,SE,1.17,0.880952380952,1.0
236,White,1,42.0,4.0,SE,0.97,0.905952380952,1.0
237,White,1,35.0,3.2,SE,0.27,0.742261904762,1.0
238,White,1,29.0,3.4,SE,-0.52,0.68630952381,1.0
239,White,2,35.0,2.9,SE,-0.4,0.71369047619,1.0
241,White,1,32.0,3.1,MS,-1.17,0.695238095238,1.0
242,White,2,27.0,2.3,SE,-1.01,0.556547619048,1.0
243,White,1,38.0,3.0,MS,0.55,0.760714285714,1.0
244,White,2,31.0,2.7,MS,-0.2,0.644642857143,0.0
245,White,1,38.0,3.0,SE,0.15,0.760714285714,1.0
246,White,1,28.5,3.9,SE,0.48,0.727678571429,1.0
247,White,2,34.0,2.6,SE,0.0,0.672619047619,1.0
248,White,1,31.0,3.0,SE,0.0,0.673214285714,1.0
249,White,2,33.0,2.9,GL,-0.2,0.68869047619,1.0
250,White,1,35.0,2.7,SE,-1.05,0.694642857143,1.0
251,White,1,32.5,2.8,SE,0.08,0.672916666667,1.0
252,White,1,36.0,2.6,SE,-0.72,0.697619047619,0.0
253,White,2,37.0,3.4,MS,0.95,0.78630952381,1.0
255,White,1,33.0,3.2,SE,-0.4,0.717261904762,1.0
256,White,1,37.0,2.9,SE,0.24,0.73869047619,1.0
257,White,2,25.5,2.8,SE,-0.08,0.585416666667,1.0
258,White,2,38.0,2.6,SE,1.25,0.722619047619,1.0
259,White,2,34.0,2.7,SE,-0.12,0.682142857143,1.0
261,White,2,35.0,2.9,SE,1.94,0.71369047619,1.0
262,White,2,29.5,2.8,SE,0.24,0.635416666667,1.0
263,White,1,41.0,3.0,SE,0.2,0.798214285714,1.0
265,White,2,35.0,3.2,SE,-1.13,0.742261904762,1.0
266,White,2,34.0,2.9,SE,-2.06,0.70119047619,1.0
267,White,2,42.0,2.6,SE,1.57,0.772619047619,1.0
270,White,2,30.5,3.1,SE,0.87,0.676488095238,1.0
271,White,2,41.0,2.5,SE,0.9,0.750595238095,1.0
272,White,2,31.5,3.5,SE,0.2,0.727083333333,1.0
273,White,1,35.0,3.7,SE,0.44,0.789880952381,1.0
274,White,2,31.0,3.3,SE,0.85,0.701785714286,1.0
275,White,2,39.0,3.1,MS,1.19,0.782738095238,1.0
276,White,2,39.0,2.9,FW,0.98,0.76369047619,1.0
277,White,1,40.0,2.6,SE,0.16,0.747619047619,1.0
278,White,2,40.0,3.8,SE,1.85,0.861904761905,1.0
279,White,2,33.0,3.2,SE,-0.24,0.717261904762,1.0
280,White,2,32.0,3.3,SE,0.36,0.714285714286,1.0
281,White,2,39.0,3.3,SE,0.72,0.801785714286,1.0
282,White,1,39.0,2.7,SE,0.44,0.744642857143,1.0
283,White,2,33.0,3.3,MS,0.24,0.726785714286,1.0
284,White,2,38.0,3.7,GL,0.11,0.827380952381,1.0
285,White,1,40.0,3.6,GL,-0.09,0.842857142857,1.0
286,White,2,38.0,3.4,GL,-0.51,0.79880952381,0.0
287,White,2,33.0,3.0,GL,-0.82,0.698214285714,1.0
289,White,2,40.0,3.2,GL,1.73,0.804761904762,1.0
290,Other,2,42.0,3.3,GL,1.22,0.839285714286,1.0
291,Black,2,29.0,2.8,GL,-1.89,0.629166666667,0.0
292,White,1,33.0,3.5,GL,0.05,0.745833333333,1.0
293,White,2,40.0,3.4,GL,-1.06,0.82380952381,1.0
294,White,2,36.0,3.1,MS,0.53,0.745238095238,1.0
296,Black,1,25.0,2.8,MS,-2.22,0.579166666667,0.0
298,White,2,39.0,3.6,SE,0.18,0.830357142857,1.0
299,White,1,41.0,3.7,GL,0.9,0.864880952381,1.0
300,White,1,36.0,3.9,GL,-0.12,0.821428571429,1.0
301,White,2,44.0,3.2,GL,0.75,0.854761904762,1.0
302,White,1,42.0,3.5,MS,-1.17,0.858333333333,1.0
304,White,2,46.0,3.3,GL,-2.08,0.889285714286,0.0
306,White,2,40.0,2.2,MS,1.04,0.709523809524,1.0
308,White,1,41.0,3.8,GL,1.16,0.874404761905,1.0
310,Other,1,41.0,3.4,GL,0.5,0.83630952381,1.0
311,Other,2,32.0,2.8,MS,-1.13,0.666666666667,0.0
312,White,2,37.0,3.4,MS,-1.02,0.78630952381,1.0
313,White,1,40.0,3.5,GL,-0.12,0.833333333333,1.0
314,White,1,36.0,3.7,GL,0.77,0.802380952381,1.0
315,White,1,42.0,3.5,MS,0.83,0.858333333333,1.0
316,White,2,35.5,2.9,MS,0.06,0.71994047619,1.0
317,White,1,37.0,3.9,MS,0.37,0.833928571429,1.0
318,White,1,48.0,2.3,GL,0.8,0.819047619048,1.0
319,White,1,37.0,3.1,NE,0.14,0.757738095238,1.0
320,White,1,35.0,3.9,GL,0.14,0.808928571429,1.0
321,Asian,2,33.5,3.2,GL,0.14,0.723511904762,1.0
323,White,1,47.0,3.9,Mt,-0.2,0.958928571429,1.0
324,White,1,41.0,2.8,MW,0.33,0.779166666667,1.0
325,White,1,40.0,3.5,GL,0.65,0.833333333333,1.0
326,White,2,44.0,3.4,GL,-0.33,0.87380952381,1.0
327,White,2,38.0,3.0,MS,-0.02,0.760714285714,1.0
328,White,2,39.0,3.6,GL,0.51,0.830357142857,1.0
330,Black,1,28.0,3.4,MS,-2.37,0.67380952381,0.0
331,White,2,46.0,2.5,GL,-0.27,0.813095238095,1.0
332,White,2,42.0,3.0,GL,-0.4,0.810714285714,1.0
333,Hispanic,2,34.0,2.8,FW,-0.26,0.691666666667,0.0
334,White,2,34.0,3.7,GL,-0.96,0.777380952381,1.0
336,White,2,38.0,3.3,GL,0.39,0.789285714286,1.0
337,White,1,33.0,3.9,MS,0.46,0.783928571429,1.0
338,White,2,38.0,3.3,GL,-0.13,0.789285714286,1.0
339,White,2,34.0,3.9,GL,-0.23,0.796428571429,1.0
340,White,2,37.0,3.7,MS,0.68,0.814880952381,1.0
341,Asian,2,40.0,2.8,NE,0.4,0.766666666667,1.0
342,White,2,45.0,3.2,GL,0.43,0.867261904762,1.0
343,White,2,41.0,3.2,GL,-0.28,0.817261904762,1.0
345,White,2,36.0,3.7,GL,0.89,0.802380952381,1.0
346,White,2,45.0,3.5,GL,-0.21,0.895833333333,1.0
347,Hispanic,2,38.0,3.4,SE,1.02,0.79880952381,1.0
348,White,1,44.0,4.1,GL,1.7,0.940476190476,1.0
349,White,2,41.0,3.5,GL,-0.1,0.845833333333,1.0
350,White,2,39.5,3.5,GL,-0.52,0.827083333333,1.0
351,White,1,41.0,3.4,GL,0.24,0.83630952381,1.0
352,White,1,44.0,3.6,GL,1.62,0.892857142857,1.0
355,White,2,40.5,3.3,FW,1.95,0.820535714286,1.0
356,White,1,42.0,3.6,GL,1.65,0.867857142857,1.0
358,White,2,40.0,2.0,MS,1.2,0.690476190476,1.0
359,White,1,45.0,3.4,GL,1.87,0.88630952381,1.0
360,White,1,40.0,3.8,GL,0.3,0.861904761905,1.0
361,White,1,36.0,3.7,GL,0.05,0.802380952381,1.0
362,White,1,34.0,3.2,GL,-0.55,0.729761904762,1.0
363,White,1,37.0,3.5,Mt,-1.17,0.795833333333,1.0
364,Black,1,23.0,2.8,GL,-2.23,0.554166666667,0.0
365,White,2,38.0,3.4,GL,-0.3,0.79880952381,1.0
366,White,2,40.0,3.5,NE,-0.06,0.833333333333,1.0
367,White,1,39.0,3.4,GL,0.57,0.81130952381,1.0
368,White,2,40.0,3.2,GL,0.82,0.804761904762,1.0
369,White,2,33.0,2.9,MS,0.19,0.68869047619,1.0
370,White,2,38.0,3.8,GL,1.16,0.836904761905,1.0
372,White,2,43.0,3.8,GL,1.14,0.899404761905,1.0
373,White,1,38.0,3.5,NE,0.48,0.808333333333,1.0
375,White,1,35.0,3.3,NE,-0.26,0.751785714286,1.0
376,White,1,39.0,3.3,MS,1.16,0.801785714286,1.0
377,White,1,40.0,3.8,NE,2.25,0.861904761905,1.0
378,White,1,33.0,3.3,SE,0.6,0.726785714286,1.0
379,White,2,37.0,3.2,MS,1.91,0.767261904762,1.0
380,Asian,2,35.0,2.8,NE,0.96,0.704166666667,1.0
381,White,2,30.0,2.6,NE,-0.26,0.622619047619,1.0
382,White,1,38.0,3.2,NE,0.56,0.779761904762,1.0
383,Puertorican,1,31.0,3.7,NE,0.8,0.739880952381,1.0
384,White,1,40.0,3.0,MS,1.45,0.785714285714,1.0
385,White,2,34.0,3.7,NE,0.43,0.777380952381,1.0
386,White,1,42.0,3.9,NE,0.5,0.896428571429,1.0
388,White,2,35.5,2.8,NE,1.78,0.710416666667,1.0
389,White,2,32.5,2.7,MS,1.02,0.663392857143,1.0
390,White,1,30.0,3.0,MS,-0.33,0.660714285714,0.0
391,Hispanic,2,37.0,2.5,MS,0.23,0.700595238095,1.0
392,White,1,35.0,3.7,NE,0.0,0.789880952381,1.0
393,White,1,35.0,3.5,NE,0.6,0.770833333333,1.0
395,White,1,37.0,3.4,NG,0.63,0.78630952381,1.0
397,Black,2,28.0,2.7,NE,-0.59,0.607142857143,1.0
398,Hispanic,1,30.0,2.9,SE,-0.99,0.65119047619,0.0
399,White,1,38.0,3.0,NE,0.92,0.760714285714,1.0
400,White,1,33.0,2.7,MS,-0.24,0.669642857143,1.0
401,White,1,47.0,2.9,NG,0.56,0.86369047619,1.0
403,White,2,38.0,2.8,NG,-0.79,0.741666666667,0.0
404,Puertorican,2,34.0,2.8,NE,-0.86,0.691666666667,1.0
405,Amerindian,1,34.0,3.1,NG,-0.56,0.720238095238,1.0
406,White,2,34.0,3.4,NE,-0.43,0.74880952381,1.0
407,Black,1,29.0,2.5,MS,-2.01,0.600595238095,0.0
408,White,2,40.0,3.2,NE,-0.36,0.804761904762,1.0
409,White,2,30.0,2.7,NE,0.06,0.632142857143,1.0
410,Asian,2,26.0,2.5,FW,-0.5,0.563095238095,0.0
411,White,2,33.0,3.8,MS,1.58,0.774404761905,1.0
412,White,2,36.0,2.3,NE,1.65,0.669047619048,1.0
413,White,2,35.0,2.9,MS,-0.13,0.71369047619,1.0
415,White,1,30.0,2.9,NE,-0.43,0.65119047619,0.0
416,White,2,27.0,2.7,NE,-0.72,0.594642857143,1.0
417,White,2,38.0,3.2,MS,0.63,0.779761904762,1.0
418,White,2,28.5,2.1,NE,-1.88,0.55625,0.0
419,White,1,37.0,3.3,NE,-0.13,0.776785714286,1.0
420,White,2,39.0,2.4,NE,-0.1,0.716071428571,1.0
421,White,2,41.0,2.4,MS,1.61,0.741071428571,1.0
422,Hispanic,2,33.0,2.3,NE,0.99,0.631547619048,1.0
423,White,2,45.0,2.6,NE,-1.05,0.810119047619,0.0
424,White,2,33.0,3.4,NE,-0.03,0.73630952381,1.0
425,Hispanic,2,27.0,3.6,SE,-0.1,0.680357142857,1.0
427,White,1,40.0,3.7,Mt,1.75,0.852380952381,1.0
428,White,1,36.0,3.1,MS,-0.43,0.745238095238,1.0
429,White,1,36.0,3.2,MS,1.29,0.754761904762,1.0
430,Asian,2,20.0,3.2,NE,-1.87,0.554761904762,0.0
431,White,2,36.0,3.8,NE,-0.99,0.811904761905,1.0
432,White,2,36.0,3.3,MS,-0.12,0.764285714286,1.0
433,White,1,42.0,3.4,GL,0.99,0.84880952381,1.0
434,White,2,40.0,3.6,NE,0.73,0.842857142857,1.0
435,Puertorican,2,26.0,3.6,NE,-1.15,0.667857142857,0.0
436,White,2,37.0,3.8,NE,0.6,0.824404761905,1.0
437,White,2,45.0,3.6,NE,1.35,0.905357142857,1.0
438,Asian,2,23.0,3.2,NE,-0.1,0.592261904762,1.0
439,White,2,30.5,2.4,FW,-0.89,0.609821428571,0.0
440,White,1,38.0,3.0,NE,-0.69,0.760714285714,1.0
441,Black,1,25.0,2.5,NE,-0.89,0.550595238095,1.0
442,White,1,35.0,3.0,MS,0.68,0.723214285714,1.0
443,Black,1,20.0,3.0,NE,-1.02,0.535714285714,0.0
444,Asian,1,28.0,2.8,MS,-1.38,0.616666666667,0.0
445,White,2,38.0,3.2,GL,0.07,0.779761904762,1.0
446,Puertorican,1,20.5,2.8,NE,-1.19,0.522916666667,1.0
447,White,2,44.0,3.0,NE,1.45,0.835714285714,1.0
448,White,2,29.0,2.9,MS,1.16,0.63869047619,1.0
449,White,2,45.0,2.6,MS,-0.03,0.810119047619,0.0
450,White,2,36.0,2.8,NE,-1.19,0.716666666667,1.0
451,Black,1,21.0,3.0,NE,-1.32,0.548214285714,1.0
452,Asian,2,28.0,2.2,NE,-0.79,0.559523809524,1.0
453,White,2,35.0,3.3,MS,0.9,0.751785714286,1.0
454,White,2,36.0,3.1,MS,-0.59,0.745238095238,1.0
455,White,2,37.0,3.4,NE,0.43,0.78630952381,1.0
456,Puertorican,1,29.0,3.2,NE,-0.89,0.667261904762,1.0
458,White,2,33.0,3.4,FW,1.62,0.73630952381,1.0
463,White,2,36.0,3.2,NE,0.27,0.754761904762,1.0
465,White,1,42.0,3.4,NG,0.92,0.84880952381,1.0
466,Asian,2,29.5,2.7,MS,-1.38,0.625892857143,1.0
467,Asian,2,27.0,3.1,NE,-1.68,0.632738095238,1.0
468,White,2,37.0,3.3,NE,0.03,0.776785714286,1.0
469,Puertorican,1,22.0,3.3,NE,-0.76,0.589285714286,1.0
470,White,1,33.0,3.3,NE,0.2,0.726785714286,1.0
471,Other,2,27.0,3.3,NE,-0.03,0.651785714286,0.0
472,Asian,2,28.0,3.3,NE,-1.32,0.664285714286,1.0
475,White,1,35.0,3.1,MS,-0.14,0.732738095238,1.0
476,White,2,28.0,3.7,Mt,0.0,0.702380952381,1.0
477,Asian,2,34.0,2.6,NE,-0.3,0.672619047619,1.0
478,White,1,22.5,3.3,NE,-1.45,0.595535714286,0.0
479,White,2,41.0,3.6,FW,0.05,0.855357142857,1.0
480,Mexican,2,33.0,3.1,FW,-0.24,0.707738095238,1.0
481,White,2,40.0,3.0,FW,-0.1,0.785714285714,1.0
482,White,2,40.5,3.5,FW,0.58,0.839583333333,1.0
483,White,1,40.0,3.7,FW,-0.43,0.852380952381,1.0
484,Black,1,28.0,3.3,FW,1.37,0.664285714286,0.0
485,White,1,41.0,2.4,MS,-0.59,0.741071428571,1.0
486,White,2,47.0,2.8,FW,-0.14,0.854166666667,1.0
487,White,2,38.0,2.5,FW,-1.69,0.713095238095,0.0
489,White,1,26.3,3.4,FW,-1.73,0.65255952381,0.0
490,White,1,43.0,3.3,FW,0.87,0.851785714286,1.0
